Name,Ticker,Yahoo_Equivalent_Code
CMI Limited,CMICABLES.NS,"'CMICABLES.NS',"
CIL Nova Petrochemicals Limited,CNOVAPETRO.NS,"'CNOVAPETRO.NS',"
Coal India Limited,COALINDIA.NS,"'COALINDIA.NS',"
Cochin Shipyard Limited,COCHINSHIP.NS,"'COCHINSHIP.NS',"
Coforge Limited,COFORGE.NS,"'COFORGE.NS',"
Colgate Palmolive (India) Limited,COLPAL.NS,"'COLPAL.NS',"
Compuage Infocom Limited,COMPINFO.NS,"'COMPINFO.NS',"
Compucom Software Limited,COMPUSOFT.NS,"'COMPUSOFT.NS',"
Container Corporation of India Limited,CONCOR.NS,"'CONCOR.NS',"
Confidence Petroleum India Limited,CONFIPET.NS,"'CONFIPET.NS',"
Consolidated Finvest & Holdings Limited,CONSOFINVT.NS,"'CONSOFINVT.NS',"
Control Print Limited,CONTROLPR.NS,"'CONTROLPR.NS',"
Coral India Finance & Housing Limited,CORALFINAC.NS,"'CORALFINAC.NS',"
Cords Cable Industries Limited,CORDSCABLE.NS,"'CORDSCABLE.NS',"
Coromandel International Limited,COROMANDEL.NS,"'COROMANDEL.NS',"
Cosmo Films Limited,COSMOFILMS.NS,"'COSMOFILMS.NS',"
Country Condo's Limited,COUNCODOS.NS,"'COUNCODOS.NS',"
Cox & Kings Limited,COX&KINGS.NS,"'COX&KINGS.NS',"
Creative Peripherals and Distribution Limited,CREATIVE.NS,"'CREATIVE.NS',"
Creative Eye Limited,CREATIVEYE.NS,"'CREATIVEYE.NS',"
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,"'CREDITACC.NS',"
Crest Ventures Limited,CREST.NS,"'CREST.NS',"
CRISIL Limited,CRISIL.NS,"'CRISIL.NS',"
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,"'CROMPTON.NS',"
CSB Bank Limited,CSBBANK.NS,"'CSBBANK.NS',"
Cambridge Technology Enterprises Limited,CTE.NS,"'CTE.NS',"
City Union Bank Limited,CUB.NS,"'CUB.NS',"
Cubex Tubings Limited,CUBEXTUB.NS,"'CUBEXTUB.NS',"
Cummins India Limited,CUMMINSIND.NS,"'CUMMINSIND.NS',"
Cupid Limited,CUPID.NS,"'CUPID.NS',"
Cyber Media (India) Limited,CYBERMEDIA.NS,"'CYBERMEDIA.NS',"
Cybertech Systems And Software Limited,CYBERTECH.NS,"'CYBERTECH.NS',"
Cyient Limited,CYIENT.NS,"'CYIENT.NS',"
LT Foods Limited,DAAWAT.NS,"'DAAWAT.NS',"
Dabur India Limited,DABUR.NS,"'DABUR.NS',"
Dalmia Bharat Limited,DALBHARAT.NS,"'DALBHARAT.NS',"
Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS,"'DALMIASUG.NS',"
Damodar Industries Limited,DAMODARIND.NS,"'DAMODARIND.NS',"
Dangee Dums Limited,DANGEE.NS,"'DANGEE.NS',"
Datamatics Global Services Limited,DATAMATICS.NS,"'DATAMATICS.NS',"
D.B.Corp Limited,DBCORP.NS,"'DBCORP.NS',"
Dilip Buildcon Limited,DBL.NS,"'DBL.NS',"
D B Realty Limited,DBREALTY.NS,"'DBREALTY.NS',"
DB (International) Stock Brokers Limited,DBSTOCKBRO.NS,"'DBSTOCKBRO.NS',"
Dishman Carbogen Amcis Limited,DCAL.NS,"'DCAL.NS',"
DCB Bank Limited,DCBBANK.NS,"'DCBBANK.NS',"
DCM  Limited,DCM.NS,"'DCM.NS',"
DCM Financial Services Limited,DCMFINSERV.NS,"'DCMFINSERV.NS',"
DCM Nouvelle Limited,DCMNVL.NS,"'DCMNVL.NS',"
DCM Shriram Limited,DCMSHRIRAM.NS,"'DCMSHRIRAM.NS',"
DCW Limited,DCW.NS,"'DCW.NS',"
Deccan Cements Limited,DECCANCE.NS,"'DECCANCE.NS',"
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS,"'DEEPAKFERT.NS',"
Deepak Nitrite Limited,DEEPAKNTR.NS,"'DEEPAKNTR.NS',"
DEEP ENERGY RESOURCES LIMITED,DEEPENR.NS,"'DEEPENR.NS',"
Delta Corp Limited,DELTACORP.NS,"'DELTACORP.NS',"
Delta Manufacturing Limited,DELTAMAGNT.NS,"'DELTAMAGNT.NS',"
Den Networks Limited,DEN.NS,"'DEN.NS',"
De Nora India Limited,DENORA.NS,"'DENORA.NS',"
DFM Foods Limited,DFMFOODS.NS,"'DFMFOODS.NS',"
Digicontent Limited,DGCONTENT.NS,"'DGCONTENT.NS',"
Dhampur Sugar Mills Limited,DHAMPURSUG.NS,"'DHAMPURSUG.NS',"
Dhanlaxmi Bank Limited,DHANBANK.NS,"'DHANBANK.NS',"
Dhani Services Limited,DHANI.NS,"'DHANI.NS',"
Dhanuka Agritech Limited,DHANUKA.NS,"'DHANUKA.NS',"
Dharani Sugars & Chemicals Limited,DHARSUGAR.NS,"'DHARSUGAR.NS',"
Dewan Housing Finance Corporation Limited,DHFL.NS,"'DHFL.NS',"
Dhunseri Investments Limited,DHUNINV.NS,"'DHUNINV.NS',"
